C10:4
C11:4
C12:4
C13:4
C14:4
C15:4
C16:4
C17:4
C18:4
C19:4
C20:4
C21:4
C22:4
C7:4
C8:4
C9:4
D1:4
D2:4
D3:4
D4:4
G***:20
J1:4
J2:4
J3:4
P2:4
R15:4
R16:4
R17:4
R18:4
R19:4
R20:4
R21:4
R22:4
R4:4
R5:4
R6:4
R7:4
R8:4
R9:4
SW3:4
SW4:4
U1:4
U2:4
U3:4
U4:4
U5:4
Y1:4
