Designator,Mid X,Mid Y,Rotation,Layer
U3_2,103.899999,-100.5,90.0,top
U3,82.9,-100.5,90.0,top
U4_4,131.999999,-80.759999,90.0,top
U4_3,152.999998,-80.759999,90.0,top
U4_2,110.999999,-80.75,90.0,top
U4,90.0,-80.75,90.0,top
U5_4,134.549999,-70.309999,180.0,top
U5_3,155.549998,-70.309999,180.0,top
U5_2,113.549999,-70.3,180.0,top
U5,92.55,-70.3,180.0,top
Y1_4,125.399999,-84.909999,180.0,top
Y1_3,146.399998,-84.909999,180.0,top
Y1_2,104.399999,-84.9,180.0,top
Y1,83.4,-84.9,180.0,top
